========= Estatisticas ========= 
Semente utilizada : 5397657
Tempo(s) Final = 30.73
Quantidade de soluçoes encontradas = 300
Quantidade de vezes em que o contrutivo foi executada: 700
Quantidade de vezes em que a BL foi executada: 700
Quantidade de vezes em que o PR foi executado: 2760
Quantidade de solucoes que o constutivo adicionou ao arquivo global: 231
Quantidade de solucoes que a BL adicionou ao arquivo global: 2787
Quantidade de solucoes que o PR adicionou ao arquivo global: 8559
Quantidade de avaliacoes da funcao objetivo: 1790057
Pareto aproximativo: 
64.0000000000 5925.0000000000
124.0000000000 4616.0000000000
126.0000000000 4605.0000000000
127.0000000000 4581.0000000000
132.0000000000 4579.0000000000
123.0000000000 4644.0000000000
121.0000000000 4653.0000000000
113.0000000000 4760.0000000000
116.0000000000 4716.0000000000
109.0000000000 4821.0000000000
111.0000000000 4792.0000000000
105.0000000000 4915.0000000000
104.0000000000 4917.0000000000
101.0000000000 4954.0000000000
99.0000000000 4982.0000000000
102.0000000000 4935.0000000000
94.0000000000 5070.0000000000
93.0000000000 5089.0000000000
92.0000000000 5108.0000000000
90.0000000000 5153.0000000000
85.0000000000 5248.0000000000
88.0000000000 5189.0000000000
87.0000000000 5208.0000000000
80.0000000000 5361.0000000000
77.0000000000 5436.0000000000
82.0000000000 5316.0000000000
75.0000000000 5490.0000000000
72.0000000000 5587.0000000000
67.0000000000 5783.0000000000
68.0000000000 5740.0000000000
65.0000000000 5874.0000000000
66.0000000000 5828.0000000000
69.0000000000 5695.0000000000
70.0000000000 5655.0000000000
71.0000000000 5619.0000000000
73.0000000000 5551.0000000000
74.0000000000 5519.0000000000
76.0000000000 5461.0000000000
78.0000000000 5409.0000000000
79.0000000000 5384.0000000000
81.0000000000 5336.0000000000
83.0000000000 5290.0000000000
84.0000000000 5268.0000000000
86.0000000000 5227.0000000000
91.0000000000 5127.0000000000
95.0000000000 5051.0000000000
96.0000000000 5033.0000000000
98.0000000000 4998.0000000000
100.0000000000 4965.0000000000
112.0000000000 4774.0000000000
114.0000000000 4744.0000000000
117.0000000000 4702.0000000000
120.0000000000 4663.0000000000
190.0000000000 4085.0000000000
184.0000000000 4099.0000000000
179.0000000000 4126.0000000000
182.0000000000 4105.0000000000
155.0000000000 4306.0000000000
156.0000000000 4297.0000000000
143.0000000000 4417.0000000000
141.0000000000 4436.0000000000
135.0000000000 4495.0000000000
139.0000000000 4450.0000000000
140.0000000000 4440.0000000000
144.0000000000 4402.0000000000
148.0000000000 4365.0000000000
154.0000000000 4311.0000000000
167.0000000000 4208.0000000000
165.0000000000 4219.0000000000
168.0000000000 4197.0000000000
170.0000000000 4183.0000000000
192.0000000000 4046.0000000000
199.0000000000 4009.0000000000
202.0000000000 3993.0000000000
204.0000000000 3983.0000000000
207.0000000000 3969.0000000000
214.0000000000 3937.0000000000
216.0000000000 3928.0000000000
222.0000000000 3902.0000000000
251.0000000000 3795.0000000000
256.0000000000 3779.0000000000
262.0000000000 3760.0000000000
274.0000000000 3725.0000000000
271.0000000000 3733.0000000000
279.0000000000 3710.0000000000
284.0000000000 3696.0000000000
318.0000000000 3615.0000000000
336.0000000000 3571.0000000000
338.0000000000 3566.0000000000
333.0000000000 3579.0000000000
320.0000000000 3606.0000000000
319.0000000000 3607.0000000000
330.0000000000 3583.0000000000
346.0000000000 3550.0000000000
382.0000000000 3490.0000000000
369.0000000000 3510.0000000000
383.0000000000 3486.0000000000
385.0000000000 3484.0000000000
405.0000000000 3452.0000000000
416.0000000000 3436.0000000000
461.0000000000 3374.0000000000
469.0000000000 3361.0000000000
494.0000000000 3331.0000000000
502.0000000000 3322.0000000000
520.0000000000 3302.0000000000
652.0000000000 3177.0000000000
568.0000000000 3254.0000000000
592.0000000000 3237.0000000000
585.0000000000 3238.0000000000
605.0000000000 3220.0000000000
598.0000000000 3226.0000000000
709.0000000000 3131.0000000000
737.0000000000 3110.0000000000
789.0000000000 3072.0000000000
799.0000000000 3065.0000000000
812.0000000000 3056.0000000000
835.0000000000 3041.0000000000
836.0000000000 3040.0000000000
855.0000000000 3028.0000000000
879.0000000000 3013.0000000000
913.0000000000 2992.0000000000
952.0000000000 2975.0000000000
938.0000000000 2977.0000000000
991.0000000000 2949.0000000000
1004.0000000000 2940.0000000000
1047.0000000000 2916.0000000000
1081.0000000000 2898.0000000000
1125.0000000000 2876.0000000000
1207.0000000000 2836.0000000000
1226.0000000000 2827.0000000000
1324.0000000000 2781.0000000000
1306.0000000000 2800.0000000000
1388.0000000000 2756.0000000000
1422.0000000000 2740.0000000000
1392.0000000000 2750.0000000000
1428.0000000000 2734.0000000000
1460.0000000000 2720.0000000000
1490.0000000000 2707.0000000000
1562.0000000000 2682.0000000000
1567.0000000000 2674.0000000000
1593.0000000000 2663.0000000000
1641.0000000000 2643.0000000000
1719.0000000000 2624.0000000000
1720.0000000000 2621.0000000000
1665.0000000000 2636.0000000000
1682.0000000000 2626.0000000000
1787.0000000000 2583.0000000000
1867.0000000000 2562.0000000000
1802.0000000000 2577.0000000000
1830.0000000000 2566.0000000000
1881.0000000000 2546.0000000000
4863.0000000000 1585.0000000000
4875.0000000000 1580.0000000000
4469.0000000000 1695.0000000000
4440.0000000000 1703.0000000000
4457.0000000000 1698.0000000000
4447.0000000000 1701.0000000000
3813.0000000000 1911.0000000000
3745.0000000000 1936.0000000000
3602.0000000000 1972.0000000000
3224.0000000000 2086.0000000000
3232.0000000000 2084.0000000000
3207.0000000000 2092.0000000000
3199.0000000000 2095.0000000000
3198.0000000000 2096.0000000000
2965.0000000000 2173.0000000000
2817.0000000000 2221.0000000000
2330.0000000000 2388.0000000000
1948.0000000000 2520.0000000000
1978.0000000000 2513.0000000000
1961.0000000000 2515.0000000000
2068.0000000000 2474.0000000000
2089.0000000000 2466.0000000000
2134.0000000000 2449.0000000000
2158.0000000000 2440.0000000000
2222.0000000000 2423.0000000000
2215.0000000000 2425.0000000000
2196.0000000000 2426.0000000000
2335.0000000000 2386.0000000000
2336.0000000000 2380.0000000000
2284.0000000000 2394.0000000000
2359.0000000000 2367.0000000000
2477.0000000000 2325.0000000000
2511.0000000000 2313.0000000000
2719.0000000000 2251.0000000000
2694.0000000000 2254.0000000000
2669.0000000000 2258.0000000000
2617.0000000000 2276.0000000000
2744.0000000000 2240.0000000000
2731.0000000000 2242.0000000000
