========= Estatisticas ========= 
Semente utilizada : 8825466
Tempo(s) Final = 885.40
Quantidade de soluçoes encontradas = 299
Quantidade de vezes em que o contrutivo foi executada: 700
Quantidade de vezes em que a BL foi executada: 700
Quantidade de vezes em que o PR foi executado: 2517
Quantidade de solucoes que o constutivo adicionou ao arquivo global: 157
Quantidade de solucoes que a BL adicionou ao arquivo global: 4664
Quantidade de solucoes que o PR adicionou ao arquivo global: 7098
Quantidade de avaliacoes da funcao objetivo: 3096924
Pareto aproximativo: 
1.0000000000 10201.0000000000
0.0000000000 10226.0000000000
222.0000000000 5548.0000000000
220.0000000000 5564.0000000000
221.0000000000 5553.0000000000
217.0000000000 5636.0000000000
216.0000000000 5641.0000000000
190.0000000000 5924.0000000000
195.0000000000 5882.0000000000
185.0000000000 6081.0000000000
186.0000000000 6071.0000000000
153.0000000000 6565.0000000000
151.0000000000 6591.0000000000
149.0000000000 6600.0000000000
129.0000000000 7009.0000000000
130.0000000000 6941.0000000000
114.0000000000 7282.0000000000
113.0000000000 7299.0000000000
96.0000000000 7553.0000000000
78.0000000000 7840.0000000000
72.0000000000 8001.0000000000
69.0000000000 8050.0000000000
73.0000000000 7994.0000000000
71.0000000000 8025.0000000000
62.0000000000 8219.0000000000
61.0000000000 8220.0000000000
54.0000000000 8524.0000000000
57.0000000000 8469.0000000000
56.0000000000 8495.0000000000
55.0000000000 8520.0000000000
42.0000000000 8715.0000000000
41.0000000000 8736.0000000000
40.0000000000 8758.0000000000
39.0000000000 8777.0000000000
34.0000000000 8931.0000000000
28.0000000000 9173.0000000000
27.0000000000 9201.0000000000
26.0000000000 9221.0000000000
22.0000000000 9295.0000000000
17.0000000000 9568.0000000000
15.0000000000 9604.0000000000
16.0000000000 9582.0000000000
8.0000000000 9938.0000000000
6.0000000000 9965.0000000000
7.0000000000 9940.0000000000
5.0000000000 9989.0000000000
3.0000000000 10075.0000000000
4.0000000000 10028.0000000000
12.0000000000 9715.0000000000
11.0000000000 9717.0000000000
13.0000000000 9634.0000000000
21.0000000000 9329.0000000000
23.0000000000 9260.0000000000
25.0000000000 9226.0000000000
24.0000000000 9227.0000000000
33.0000000000 8943.0000000000
36.0000000000 8853.0000000000
38.0000000000 8795.0000000000
47.0000000000 8547.0000000000
58.0000000000 8261.0000000000
68.0000000000 8062.0000000000
66.0000000000 8064.0000000000
76.0000000000 7879.0000000000
74.0000000000 7880.0000000000
94.0000000000 7579.0000000000
92.0000000000 7580.0000000000
86.0000000000 7688.0000000000
87.0000000000 7610.0000000000
88.0000000000 7581.0000000000
112.0000000000 7318.0000000000
110.0000000000 7319.0000000000
104.0000000000 7320.0000000000
101.0000000000 7321.0000000000
128.0000000000 7051.0000000000
119.0000000000 7052.0000000000
115.0000000000 7054.0000000000
131.0000000000 6829.0000000000
132.0000000000 6759.0000000000
133.0000000000 6736.0000000000
139.0000000000 6640.0000000000
145.0000000000 6608.0000000000
141.0000000000 6609.0000000000
162.0000000000 6396.0000000000
160.0000000000 6398.0000000000
155.0000000000 6399.0000000000
171.0000000000 6333.0000000000
174.0000000000 6144.0000000000
175.0000000000 6119.0000000000
177.0000000000 6092.0000000000
207.0000000000 5867.0000000000
193.0000000000 5886.0000000000
214.0000000000 5769.0000000000
212.0000000000 5817.0000000000
218.0000000000 5586.0000000000
229.0000000000 5528.0000000000
287.0000000000 4957.0000000000
273.0000000000 5218.0000000000
267.0000000000 5241.0000000000
262.0000000000 5246.0000000000
257.0000000000 5247.0000000000
252.0000000000 5248.0000000000
249.0000000000 5261.0000000000
285.0000000000 4961.0000000000
284.0000000000 4964.0000000000
281.0000000000 4973.0000000000
307.0000000000 4826.0000000000
308.0000000000 4797.0000000000
309.0000000000 4764.0000000000
310.0000000000 4741.0000000000
313.0000000000 4718.0000000000
339.0000000000 4530.0000000000
340.0000000000 4517.0000000000
368.0000000000 4429.0000000000
370.0000000000 4373.0000000000
373.0000000000 4296.0000000000
374.0000000000 4279.0000000000
408.0000000000 4171.0000000000
