========= Estatisticas ========= 
Semente utilizada : 2874643
Quantidade de arestas removidas: 489923
Quantidade de arestas obrigatorias = 0
Tempo PreProcessamento (s) = 100.37
Quantidade de solucoes suportadas = 30
Quantidade de individuos OBTIDOS APOS rmcKruskal = 134
Quantidade de individuos na populacao inicial =  150
Quantidade de solucoes no arquivo inicial =  300
Quantidade de solucoes na primeira fase = 300
Tempo PrimeiraFase(s) = 90.3
Quantidade de solucoes na segunda fase = 300
Tempo SegundaFase(s) = 42.61
Quantidade de solucoes não dominadas que o PR encontrou = 7
Quantiade de avalicoes da funcao objetivo = 755313
Tempo FINAL(s) =  233.28
Resultado : 
0 19599
5 19346
8 19231
10 19163
12 19099
13 19068
17 18950
19 18894
20 18867
22 18814
27 18684
37 18440
41 18348
48 18194
50 18152
53 18092
54 18078
67 17826
72 17736
78 17634
83 17560
93 17394
104 17229
111 17131
117 17047
135 16813
139 16763
145 16691
154 16583
171 16398
178 16319
216 15939
227 15860
248 15670
250 15631
254 15597
259 15582
297 15253
307 15178
310 15156
320 15108
348 14910
356 14834
389 14630
408 14514
412 14491
432 14381
435 14365
471 14185
491 14102
500 14040
512 13984
531 13917
554 13797
573 13721
595 13636
645 13452
669 13371
686 13306
687 13298
774 13035
786 13000
813 12910
873 12739
898 12671
927 12599
954 12541
962 12530
1047 12340
1056 12324
1078 12278
1119 12212
1257 11952
1354 11805
1372 11799
1396 11732
1681 11454
1683 11384
1921 11176
1967 11154
1976 11125
2058 11015
2152 10935
2374 10819
2386 10788
2394 10738
2445 10720
2536 10673
2567 10650
2709 10556
2854 10517
2862 10502
2880 10467
3037 10395
3093 10390
3185 10355
3678 10151
3798 10107
3832 10076
3852 10070
4973 9816
5441 9697
5658 9600
5982 9514
6371 9474
7427 9251
7678 9223
7764 9176
8434 9108
8505 9081
8700 9041
9420 8913
9720 8861
9940 8828
10653 8774
10897 8713
11081 8665
11424 8656
11539 8616
11847 8560
11884 8555
12695 8480
12701 8446
12754 8439
13101 8432
13616 8399
13650 8339
13825 8300
13903 8290
14482 8266
15448 8110
15994 8048
16116 8023
16437 7980
16837 7935
17019 7903
17077 7896
18009 7864
18022 7835
18076 7778
18609 7738
18636 7714
19308 7672
19403 7647
20087 7597
20201 7568
21792 7393
22077 7357
22329 7335
22360 7321
22666 7249
22672 7245
24925 7037
25066 7025
25232 7008
25298 6995
25354 6991
25385 6987
25499 6975
25724 6953
25939 6930
25971 6922
26127 6912
26531 6867
26532 6866
26589 6857
28133 6638
28884 6608
29024 6590
29397 6553
29612 6527
29810 6516
30167 6486
31275 6436
31793 6287
32048 6260
32743 6243
32778 6231
32833 6201
33236 6091
33237 6090
33593 6051
33848 6024
34529 6014
34631 6003
34859 5952
35306 5924
35708 5850
36494 5792
36859 5745
36952 5713
37295 5662
37645 5641
37981 5616
38399 5547
38938 5491
39621 5472
39953 5453
40106 5434
41279 5431
41303 5338
41501 5256
42432 5246
42528 5237
42536 5175
42884 5163
43347 5161
44494 5021
44552 4917
45186 4851
45289 4845
45348 4835
45423 4827
45690 4800
46567 4748
47183 4702
47540 4644
48156 4566
48663 4537
49026 4533
49137 4513
50296 4491
50384 4422
50710 4298
50892 4280
51378 4232
52159 4155
52952 4077
53827 3999
53829 3998
53921 3982
54197 3955
55304 3847
56062 3780
56096 3770
57330 3746
57338 3745
57367 3741
57459 3717
58404 3567
58726 3516
58765 3512
59486 3444
59532 3442
59541 3441
59545 3437
60695 3341
60713 3325
61465 3253
64065 3159
64468 2967
64563 2958
64859 2930
65173 2906
65283 2890
65536 2888
65538 2866
67458 2686
68133 2623
69038 2568
69122 2531
69316 2513
70126 2438
70776 2378
70928 2364
71102 2348
74424 2046
74513 2038
74981 1996
75316 1966
75876 1916
76191 1888
76939 1822
77509 1772
78843 1656
79307 1616
79797 1574
80079 1550
80138 1545
81062 1478
81638 1420
81932 1396
83114 1301
83177 1296
83405 1278
83558 1266
84678 1180
84878 1165
85364 1129
86574 1043
86662 1037
87442 985
87488 982
87674 970
88426 932
88822 900
89630 870
90436 817
90601 810
90676 807
